gene_id	TCGA-05-4417-01A-22R-1858-07	TCGA-35-3615-01A-01R-0946-07	TCGA-44-6776-01A-11R-1858-07	TCGA-44-7671-01A-11R-2066-07	TCGA-55-7281-01A-11R-2039-07	TCGA-55-8203-01A-11R-2241-07	TCGA-55-8299-01A-11R-2287-07	TCGA-55-8615-01A-11R-2403-07	TCGA-62-A46S-01A-11R-A24H-07	TCGA-69-7980-01A-11R-2187-07	TCGA-78-7148-01A-11R-2039-07	TCGA-78-7160-01A-11R-2039-07	TCGA-78-7161-01A-11R-2039-07	TCGA-86-7713-01A-11R-2066-07	TCGA-4B-A93V-01A-11R-A39D-07	TCGA-50-5933-01A-11R-1755-07	TCGA-55-6975-01A-11R-1949-07	TCGA-55-7283-01A-11R-2039-07	TCGA-55-7911-01A-11R-2170-07	TCGA-55-7914-01A-11R-2170-07	TCGA-55-8514-01A-11R-2403-07	TCGA-69-7978-01A-11R-2187-07
C5orf55|116349	41.2996	82.5211	64.6552	26.7822	63.2479	78.8596	53.6403	118.182	59.6026	81.7576	35.6288	55.5205	109.861	37.9968	189.554	33.1671	51.1316	56.1404	141.668	32.4838	175.484	50.4371
C5orf56|441108	59.8971	113.843	42.4425	22.0906	58.7635	117.177	190.41	27.8342	124.909	91.7523	49.6942	63.4132	23.5742	38.2709	57.9534	44.4694	38.6505	66.3158	151.97	88.5207	49.8581	158.275
C5orf58|133874	8.2599	1.2995	2.1552	0.6302	6.2678	2.4264	13.5157	2.139	6.6225	4.8993	0	9.4637	1.4697	1.2024	1.4433	5.1026	2.5147	3.0075	14.2725	2.4988	4.5161	23.8736
C5orf60|285679	0	0.3249	0	0.3151	0	0.4044	0.4224	0	0	0.3062	0.5318	0.6309	0.7349	0.481	0.9622	0	0	0	0	0	0	0
C5orf62|85027	531.176	172.515	326.149	297.44	642.165	336.063	740.828	282.353	201.766	619.46	212.709	370.347	300.556	279.204	301.169	538.327	439.229	473.684	436.633	381.809	323.871	519.839
C6|729	5.7184	53.6062	20.1149	214.573	21.6524	10.5146	15.6275	113.904	33.5541	90.0253	4.786	22.7129	66.8719	63.7287	3.8488	1.0205	0	47.1178	3.1717	5.4973	5.1613	11.0962
C6orf10|10665	0	0	0	0	0	0	0	0	0.4415	0	0	0	0	0	0	0	0	0	0	0.4998	0	0
C6orf103|79747	2.5415	1.9493	2.8736	23.7385	3.9886	0	0.4224	0.5348	0	6.7366	0	3.1609	14.3297	0.481	2.8866	0	0	4.01	0	0.9995	0	2.69
C6orf105|84830	32.4043	30.8642	18.6782	26.4671	66.0969	30.735	34.2115	12.2995	23.8411	68.5907	17.5485	95.8991	3.6743	17.7959	37.0447	86.2344	35.2054	21.0526	95.6786	10.4948	23.2258	66.577
C6orf106|64771	3628.01	3474.01	5922.41	4927.29	2903.7	4006.87	2937.55	3989.84	3072.41	5838.78	2867.32	3352.05	4402.52	2794.93	1728.59	5023.03	2777.03	5418.55	3106.12	5686.66	2465.81	3866.17
C6orf108|10591	533.718	1468.49	726.293	419.063	519.658	704.074	505.148	791.979	633.113	390.11	655.145	341.956	840.308	303.733	1108.94	249.518	549.874	831.579	460.949	1195.4	503.871	322.125
C6orf114|85411	3.8123	1.6244	7.1839	10.3978	10.8262	3.2353	13.938	3.7433	2.649	3.3683	1.5953	5.6782	5.5114	7.936	3.3677	6.1232	12.5733	4.5113	3.1717	1.999	1.2903	8.8433
C6orf115|58527	927.653	805.393	411.638	879.086	965.242	611.061	547.385	591.979	604.856	853.709	864.664	823.975	284.022	342.452	702.407	566.392	1523.89	670.677	553.984	576.712	676.129	417.283
C6orf118|168090	1.9061	5.5231	0.7184	68.0583	2.849	1.2132	0	0.5348	3.532	12.8608	0	3.1546	16.9017	8.417	4.811	0	0	10.5263	1.5858	2.4988	1.2903	3.3625
C6orf120|387263	571.199	359.22	431.933	491.494	453.162	485.116	630.164	514.166	443.201	549.797	566.839	911.022	586.679	413.121	540.497	566.458	651.509	604.321	567.607	459.74	677.787	841.591
C6orf1|221491	275.119	666.992	543.822	632.69	758.974	274.189	267.779	305.348	218.543	325.5	244.616	283.281	192.532	53.1474	153.952	245.947	222.967	415.038	354.169	473.763	1154.19	336.584
C6orf122|401288	11.8752	10.0032	5.0287	11.2076	9.037	18.6958	15.1882	23.8824	3.9117	9.1219	7.3597	11.3565	97.2251	11.3918	41.9039	7.0008	2.0956	24.1604	9.4357	19.4603	10.9419	7.0612
C6orf123|26238	5.083	1.2995	3.592	3.781	9.1168	2.022	9.7144	1.0695	6.181	2.7559	1.5953	4.4164	2.9394	4.3287	15.3952	5.6129	4.1911	9.5238	2.6431	29.4853	36.7742	7.7337
C6orf124|653483	5.083	9.4217	2.1552	5.9866	17.094	2.022	5.4907	11.2299	15.011	77.4707	6.9131	5.0473	15.7994	12.0243	72.6462	8.6745	6.7058	15.5388	34.3597	25.4873	51.6129	16.4761
C6orf125|84300	1063.26	2751.82	1866.7	1376.45	2346.26	1680.83	1036.65	2392.12	1170.05	1700.89	1146.58	762.246	1817.4	1337.78	2073.8	811.333	910.293	1722.34	1370.18	1399.26	2562.32	500.175
C6orf126|389383	9.5307	22.0923	0	106.183	1.7094	0.4044	0	0.5348	1.3245	12.2483	0	0.6309	1.1023	0.9619	0	1.0205	0	3.0075	0	1.999	0	5.38
C6orf127|340204	0.6354	0.6498	0	5.3564	0.5698	0	0.4224	0	0.883	5.5118	0	0.6309	0	0.2405	0	0	0.8382	0	0	8.4958	0	0.6725
C6orf129|154467	383.133	599.09	299.569	274.439	265.527	482.863	295.655	487.166	262.693	548.419	286.626	213.88	342.443	304.936	343.506	292.38	437.552	233.083	237.346	295.352	219.355	167.787
C6orf130|221443	349.935	674.23	475.503	780.745	283.664	563.652	370.025	438.647	561.793	586.824	464.174	525.293	353.477	404.228	413.265	450.404	456.832	460.085	431.188	639.37	369.768	263.625
C6orf132|647024	93.4006	183.886	260.058	331.469	255.84	177.94	161.766	181.283	83.8852	198.117	211.114	136.909	207.964	94.9919	94.2957	180.123	263.202	356.391	134.796	200.4	210.323	121.722
C6orf134|79969	144.231	330.084	152.299	152.501	177.208	440.805	181.194	426.738	293.157	687.744	96.251	136.278	462.592	223.892	244.88	150.017	157.586	252.632	155.94	426.287	576.129	168.46
C6orf136|221545	264.953	287.849	466.236	338.086	246.154	304.924	282.984	527.273	363.797	249.254	286.094	307.886	314.886	273.673	324.262	161.243	257.334	276.19	182.899	529.235	425.807	211.163
C6orf138|442213	10.1661	98.4405	51.7241	99.5668	2.849	10.1102	28.7208	20.3209	9.713	3.6745	20.7392	14.511	66.5044	6.0121	63.9864	11.2258	15.9262	20.0501	21.6731	2.4988	5.1613	7.0612
C6orf141|135398	10.1661	0.3249	7.1839	10.0827	9.6866	35.9923	27.8761	33.1551	73.2892	24.4967	14.3579	6.9401	9.5531	6.0121	23.5739	59.7007	17.6027	31.0777	38.5886	38.9805	67.0968	93.813
C6orf142|90523	0	0.6498	0	0.3151	1.7094	0	0	0	0	0	0	1.2618	0.7349	0	1.9244	0.5103	0	0	0	0.9995	0	0
C6orf145|221749	2215.56	469.786	1170.26	542.261	1843.3	190.881	482.763	1326.2	949.669	1005.59	424.355	916.719	230.01	222.449	1932.58	1102.17	1057	354.887	321.924	205.397	3414.84	752.522
C6orf146|222826	0	0.3249	0	0	0	0	0.4224	0	0.883	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf147|387097	5.083	3.8986	2.9957	2.2655	7.4074	9.7381	16.5651	6.9519	3.8278	29.5552	6.4451	3.8927	38.6424	9.2707	26.4509	2.0411	5.0293	3.5088	24.9716	4.1229	59.0581	5.1648
C6orf150|115004	205.227	53.2814	20.1149	26.7822	60.3989	139.521	123.331	78.0749	39.2936	96.7618	114.331	89.5899	117.21	146.937	130.859	203.084	232.188	101.253	71.3625	78.9605	83.2258	268.662
C6orf15|29113	0	0	0	0	1.7094	0	0.4224	0	0	4.2869	0	0	0	0	0	0.5103	3.3529	11.5288	0.5286	0.4998	0.6452	0
C6orf153|88745	773.891	1195.26	739.224	1010.79	573.789	882.823	752.231	836.364	719.647	885.555	673.225	664.984	696.276	854.446	919.383	1040.94	1072.09	985.965	1029.21	747.126	1041.94	510.76
C6orf154|221424	6.3538	17.8687	48.1322	32.7688	5.1282	64.3009	8.0249	78.6096	44.5916	16.5353	3.7224	10.0946	26.0874	34.63	63.0242	16.3284	10.0587	38.0952	8.9864	31.984	36.129	7.7337
C6orf155|79940	5.083	2.2742	2.8736	1.5754	2.849	3.6397	16.8946	0.5348	8.3885	15.6166	2.6589	8.2019	7.716	2.8858	1.9244	1.0205	2.5147	3.0075	5.8147	20.4898	15.4839	3.0262
C6orf162|57150	63.1503	55.77	52.4425	35.9197	80.6952	65.5141	67.8191	55.0642	43.6645	66.1257	68.5084	76.9401	154.966	50.1605	111.798	47.9086	114.837	39.9699	56.4874	43.4783	130.155	61.4223
C6orf163|206412	2.5415	4.5484	4.3103	2.8358	2.849	3.2353	7.6026	2.6738	2.649	3.0621	2.6589	6.9401	24.6177	1.6834	5.2921	2.5513	0	2.005	8.9864	6.9965	7.0968	8.0699
C6orf164|63914	8.0121	5.9584	7.1839	2.8358	7.0541	4.8529	12.4302	4.8289	4.4592	4.6084	10.1941	5.7098	39.7704	1.3034	21.4667	1.5869	1.6764	5.1429	24.3901	9.4953	16.9419	11.5434
C6orf165|154313	10.8014	21.4652	7.9239	106.401	9.8974	2.754	7.7039	6.4171	6.3002	26.4197	2.4515	7.5773	76.8549	14.1887	7.2165	3.0616	13.4199	26.5865	5.2861	12.2239	3.2258	18.3894
